leg_case,leg_stat,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
CIV_COM,CRT_BGHT,NR,LI	629 	492 	477 	447 	553 	479 	428 	367 	408 	: 
CIV_COM,CRT_BGHT,NR,LT	194497 	206498 	206127 	198639 	185150 	180921 	184518 	201585 	236556 	185878 
CIV_COM,CRT_BGHT,NR,LU	4604 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,NR,LV	33659 	42787 	40672 	44934 	43203 	44536 	88420 	124904 	135059 	104362 
CIV_COM,CRT_BGHT,NR,ME	35069 	39639 	39887 	28049 	19956 	17932 	19710 	20168 	18725 	14680 
CIV_COM,CRT_BGHT,NR,MT	2102 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,NR,NL	: 	: 	1103900 	1094900 	1067200 	1083600 	1124100 	1158200 	: 	: 
CIV_COM,CRT_BGHT,NR,PL	11497358 	10649683 	10478733 	9780247 	10406017 	9535773 	9212489 	8458650 	7496081 	6936314 
CIV_COM,CRT_BGHT,NR,PT	300635 	308608 	314968 	678477 	326766 	368981 	328626 	312768 	360325 	314467 
CIV_COM,CRT_BGHT,NR,RO	1111755 	1098978 	1147372 	1261328 	605608 	733369 	760326 	846144 	820311 	749429 
CIV_COM,CRT_BGHT,NR,RS	981510 	842192 	840436 	698337 	741097 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,NR,SE	93058 	90003 	91412 	96543 	99850 	88214 	82744 	85790 	82462 	72446 
CIV_COM,CRT_BGHT,NR,SI	: 	482981 	505685 	558991 	566638 	605167 	558351 	564519 	616524 	503450 
CIV_COM,CRT_BGHT,NR,SK	165611 	239230 	386257 	271710 	286467 	300649 	249188 	253861 	252625 	249974 
CIV_COM,CRT_BGHT,NR,TR	: 	2202899 	2155467 	2127469 	1938187 	1692624 	1860865 	1877368 	1794572 	: 
CIV_COM,CRT_BGHT,NR,UKC-L	: 	1838076 	1601613 	1633364 	1488873 	1508248 	1633486 	1693181 	1879430 	2064100 
CIV_COM,CRT_BGHT,NR,UKM	76556 	: 	75142 	75417 	75769 	76046 	83856 	95996 	116216 	130040 
CIV_COM,CRT_BGHT,NR,UKN	: 	: 	55611 	60022 	63192 	65975 	68653 	70026 	70709 	62957 
CIV_COM,CRT_BGHT,NR,XK	641 	634 	630 	687 	766 	1228 	1228 	1254 	1063 	1484 
CIV_COM,CRT_BGHT,P_HTHAB,AL	2393.21 	2222.43 	1526.64 	1648.27 	: 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,P_HTHAB,AT	5526.37 	5767.39 	5903.04 	6300.38 	6554.07 	6746.12 	7159.27 	7655.93 	7856.57 	: 
